!!!SBtab Document='CMBresult' DocumentName='CMB result' CalculationTime='3.844268 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S2	E1	True	
E2	X3 <=> S4	E2	True	
E3	S2 + S4 <=> S5	E3	True	
E4	S5 <=> X6	E4	True	
E5	S5 <=> X7	E5	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
S2	S2	False		
X3	X3	True		
S4	S4	False		
S5	S5	False		
X6	X6	True		
X7	X7	True		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		0.052594119	dimensionless
equilibrium constant	E2		1.75966	dimensionless
equilibrium constant	E3		4.3733029	dimensionless
equilibrium constant	E4		0.64470423	dimensionless
equilibrium constant	E5		0.6303157	dimensionless
catalytic rate constant geometric mean	E1		266.47243	1/s
catalytic rate constant geometric mean	E2		145.67532	1/s
catalytic rate constant geometric mean	E3		513.8293	1/s
catalytic rate constant geometric mean	E4		50.769257	1/s
catalytic rate constant geometric mean	E5		724.99859	1/s
Michaelis constant	E1	X1	0.0088147534	mM
Michaelis constant	E1	S2	0.012960522	mM
Michaelis constant	E3	S2	2.6186654	mM
Michaelis constant	E2	X3	1.7360697	mM
Michaelis constant	E2	S4	0.011067999	mM
Michaelis constant	E3	S4	0.062461317	mM
Michaelis constant	E3	S5	0.35555362	mM
Michaelis constant	E4	S5	0.4456517	mM
Michaelis constant	E5	S5	0.045404663	mM
Michaelis constant	E4	X6	0.26399509	mM
Michaelis constant	E5	X7	0.015187116	mM
substrate catalytic rate constant	E1		50.398165	1/s
substrate catalytic rate constant	E2		2420.1895	1/s
substrate catalytic rate constant	E3		728.81392	1/s
substrate catalytic rate constant	E4		52.964018	1/s
substrate catalytic rate constant	E5		995.24224	1/s
product catalytic rate constant	E1		1408.9314	1/s
product catalytic rate constant	E2		8.7684447	1/s
product catalytic rate constant	E3		362.26058	1/s
product catalytic rate constant	E4		48.665444	1/s
product catalytic rate constant	E5		528.1357	1/s
